DB|Table|Concat|ID||||||||
MA_DemoDM01|EmployeeTerritories|MA_DemoDM01EmployeeTerritories|224||||||||
MA_DemoDM01|EmployeeTerritories_Extract|MA_DemoDM01EmployeeTerritories_Extract|225||||||||
MA_DemoDM01|Order_Details_Order_AGGR|MA_DemoDM01Order_Details_Order_AGGR|226||||||||
MA_DemoDM01|Order_Details_Product_AGGR|MA_DemoDM01Order_Details_Product_AGGR|227||||||||
MA_DemoDM01|Order_Details_Extract|MA_DemoDM01Order_Details_Extract|228||||||||
MA_DemoDM01|Order_Details_1996_Extract|MA_DemoDM01Order_Details_1996_Extract|229||||||||
MA_DemoDM01|Order_Details_1997_Extract|MA_DemoDM01Order_Details_1997_Extract|230||||||||
MA_DemoDM01|Order_Details_1998_Extract|MA_DemoDM01Order_Details_1998_Extract|231||||||||
MA_DemoDM01|Orders|MA_DemoDM01Orders|232||||||||
MA_DemoDM01|Orders_1996_Extract|MA_DemoDM01Orders_1996_Extract|233||||||||
MA_DemoDM01|Orders_1997_Extract|MA_DemoDM01Orders_1997_Extract|234||||||||
MA_DemoDM01|Orders_1998_Extract|MA_DemoDM01Orders_1998_Extract|235||||||||
MA_DemoDM01|Orders_Extract|MA_DemoDM01Orders_Extract|236||||||||
MA_DemoDM01|Products|MA_DemoDM01Products|237||||||||
MA_DemoDM01|Products_Extract|MA_DemoDM01Products_Extract|238||||||||
MA_DemoDM01|Region|MA_DemoDM01Region|239||||||||
MA_DemoDM01|Region_Extract|MA_DemoDM01Region_Extract|240||||||||
MA_DemoDM01|Shippers|MA_DemoDM01Shippers|241||||||||
MA_DemoDM01|Shippers_Extract|MA_DemoDM01Shippers_Extract|242||||||||
MA_DemoDM01|Suppliers|MA_DemoDM01Suppliers|243||||||||
MA_DemoDM01|Suppliers_Extract|MA_DemoDM01Suppliers_Extract|244||||||||
MA_DemoDM01|Territories|MA_DemoDM01Territories|245||||||||
MA_DemoDM01|Territories_Extract|MA_DemoDM01Territories_Extract|246||||||||
MA_DemoDM01|Categories_Extract.csv|MA_DemoDM01Categories_Extract.csv|247||||||||
MA_DemoDM01|Customers_Extract.csv|MA_DemoDM01Customers_Extract.csv|248||||||||
